Process,Num,Cam,ProcessText,NumText,CamText
1,1,1,분해,툴,
1,1,2,분해,툴,툴은 버튼을 누르고 제거합니다.
1,2,1,분해,먼지통,
1,2,2,분해,먼지통,먼지통을 제거합니다.
1,3,1,분해,배터리,
1,3,2,분해,배터리,고정볼트(2개)를 해제합니다.
1,3,3,분해,배터리,배터리를 제거합니다.
2,1,1,분해,필터커버,
2,1,2,분해,필터커버,필터커버를 제거합니다.
2,2,1,분해,프리필터,
2,2,2,분해,프리필터,프리필터를 탈착합니다.
2,2,3,분해,프리필터,프리필터를 제거합니다.
3,1,1,분해,사이클론 배기구,
3,1,2,분해,사이클론 배기구,고정볼트(5개)를 해제합니다.
3,1,3,분해,사이클론 배기구,사이클론 배기구를 제거합니다.
3,2,1,분해,사이클론 상단,
3,2,2,분해,사이클론 상단,사이클론 상단을 제거합니다.
3,3,1,분해,사이클론 가스킷,
3,3,2,분해,사이클론 가스킷,사이클론 가스킷을 제거합니다.
3,4,1,분해,사이클론 하단,
3,4,2,분해,사이클론 하단,사이클론 하단을 제거합니다.
4,1,1,분해,메인바디 캡,
4,1,2,분해,메인바디 캡,메인바디 캡을 제거합니다.
4,2,1,분해,모터,
4,2,2,분해,모터,모터를 탈착합니다.
4,2,3,분해,모터,모터를 제거합니다.
4,3,1,분해,메인바디,
1,1,1,조립,메인바디,
1,2,1,조립,모터 조립,
1,3,1,조립,모터 조립,모터를 장착합니다.
1,3,2,조립,모터 조립,모터를 고정합니다.
1,4,1,조립,메인바디 캡,
1,4,2,조립,메인바디 캡,메인바디 캡을 장착합니다.
2,1,1,조립,사이클론 하단 ,
2,1,2,조립,사이클론 하단 ,사이클론 하단을 장착합니다.
2,2,1,조립,사이클론 가스킷,
2,2,2,조립,사이클론 가스킷,사이클론 가스킷을 장착합니다.
2,3,1,조립,사이클론 상단,
2,3,2,조립,사이클론 상단,사이클론 상단을 장착합니다.
2,4,1,조립,사이클론 배기구,
2,4,2,조립,사이클론 배기구,사이클론 배기구를 장착합니다.
2,4,2,조립,사이클론 배기구,볼트(5개)를 장착합니다.
3,1,1,조립,프리필터,
3,1,2,조립,프리필터,프리필터를 장착합니다.
3,1,3,조립,프리필터,프리필터를 고정합니다.
3,2,1,조립,필터커버,
3,2,2,조립,필터커버,필터커버를 장착합니다.
4,1,1,조립,배터리,
4,1,2,조립,배터리,파워팩을 장착합니다.
4,1,3,조립,배터리,볼트(2개)를 고정합니다.
4,2,1,조립,먼지통,
4,2,2,조립,먼지통,먼지통을 장착합니다.
4,3,1,조립,툴,
4,3,2,조립,툴,툴을 장착합니다.
